City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Kilindoni,TZ,80.44,clear sky,-7.9139,39.6668,Bustani B&B
503,Matadi,CD,76.66,light rain,-5.8167,13.45,Hotel Vivi Palace
505,Kerema,PG,81.55,broken clouds,-7.9631,145.7785,Frena Lodge
507,Saint-Georges,GD,79.72,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
512,Nago,JP,77.07,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
516,Salta,AR,86.29,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
520,Sambava,MG,72.3,clear sky,-14.2667,50.1667,Melrose
521,Bibiani,GH,72.95,scattered clouds,6.4635,-2.3194,Rodick Hotel
522,Bara,NG,77.5,broken clouds,10.3744,10.7288,
527,Calderitas,MX,84.31,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
530,Oranjestad,AW,81.23,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
534,Porto Novo,BJ,80.6,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
538,Bauchi,NG,77.63,overcast clouds,10.5,10.0,
540,Oeiras Do Para,BR,78.37,broken clouds,-2.0031,-49.8544,Araticu Soft Hotel
542,Maningrida,AU,83.1,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
543,San Patricio,US,84.61,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
548,Necochea,AR,73.04,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
549,Vallenar,CL,79.88,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
551,Muli,MV,81.32,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
553,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
555,Adrar,MR,79.88,overcast clouds,20.5022,-10.0711,
556,Oceanside,US,89.58,clear sky,33.1959,-117.3795,Club Wyndham Oceanside Pier Resort
557,Namatanai,PG,82.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
558,Mackay,AU,83.05,broken clouds,-21.15,149.2,International Lodge Motel
560,Negara,ID,77.68,broken clouds,-8.3151,114.6025,Villa Maya West Bali
562,San Antonio,US,78.55,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
565,Ende,ID,78.62,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
567,Mabaruma,GY,75.65,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
568,Atar,MR,84.97,overcast clouds,20.5169,-13.0499,Oumou Elghoura
571,San Pedro,PH,78.35,clear sky,14.35,121.0167,Villa Veronica Resort Private Pool
572,Boyolangu,ID,75.7,overcast clouds,-8.1181,111.8935,Yos ega cv
577,Noumea,NC,82.38,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
580,Labuhan,ID,80.98,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
581,Mogadishu,SO,78.93,broken clouds,2.0371,45.3438,Hotel Juba
582,Road Town,VG,80.01,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
587,Dingle,PH,76.24,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
590,Umm Bab,QA,73.08,clear sky,25.2142,50.8072,mike beach
593,Natal,BR,80.49,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
594,Micheweni,TZ,78.75,scattered clouds,-4.9667,39.8333,
597,Axim,GH,79.57,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
598,Ambilobe,MG,75.34,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
599,Tonantins,BR,75.96,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
600,Lhokseumawe,ID,77.04,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
601,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
606,Kieta,PG,84.04,few clouds,-6.2167,155.6333,Uruna Bay Retreat
608,Guntur,IN,74.41,few clouds,16.3,80.45,Hotel Murugan Residency
609,Delmas,HT,83.12,few clouds,18.5447,-72.3028,Idéal Villa Hôtel
615,Chokwe,MZ,72.79,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
617,Half Moon Bay,US,73.04,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
