City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Changying,CN,2021-11-20 02:52:55,52.8733,123.3213,14.56,69,100,1.57
209,Santa Cruz,BO,2021-11-20 02:52:56,-17.8,-63.1667,72.86,83,75,3.44
210,Provideniya,RU,2021-11-20 02:52:56,64.3833,-173.3,11.05,72,1,8.25
211,Kanniyakumari,IN,2021-11-20 02:52:56,8.0833,77.5667,81.23,78,61,18.9
212,Leshukonskoye,RU,2021-11-20 02:52:56,64.8989,45.7622,29.23,89,100,9.91
213,General Roca,AR,2021-11-20 02:52:57,-39.0333,-67.5833,79.2,27,6,13.04
214,Giaginskaya,RU,2021-11-20 02:52:57,44.8621,40.0719,41.86,88,100,5.06
215,Nome,US,2021-11-20 02:52:57,64.5011,-165.4064,6.87,48,1,5.75
216,Paamiut,GL,2021-11-20 02:52:57,61.994,-49.6678,34.18,77,100,38.34
217,Labuhan,ID,2021-11-20 02:52:58,-6.8844,112.2051,77.2,89,100,2.66
218,Bintulu,MY,2021-11-20 02:52:58,3.1667,113.0333,86.41,74,20,5.01
219,Necochea,AR,2021-11-20 02:52:58,-38.5473,-58.7368,49.03,87,0,9.15
220,Mount Isa,AU,2021-11-20 02:52:58,-20.7333,139.5,96.57,20,2,10.36
221,Sola,VU,2021-11-20 02:52:59,-13.8833,167.55,78.35,77,98,3.65
222,Codrington,AU,2021-11-20 02:52:59,-38.2667,141.9667,59.02,49,10,9.55
223,Wilmington,US,2021-11-20 02:52:18,34.2257,-77.9447,47.86,56,1,5.75
224,Cherskiy,RU,2021-11-20 02:52:59,68.75,161.3,-15.48,96,5,4.38
225,Abapo,BO,2021-11-20 02:52:59,-18.8333,-63.4667,65.28,84,98,1.97
226,Dwarka,IN,2021-11-20 02:49:42,22.2394,68.9678,78.39,70,100,12.66
227,Richards Bay,ZA,2021-11-20 02:53:00,-28.783,32.0377,61.14,91,100,4.76
228,Northam,GB,2021-11-20 02:53:00,51.0333,-4.2167,52.02,93,100,3.38
229,Namatanai,PG,2021-11-20 02:53:00,-3.6667,152.4333,84.06,69,97,5.21
230,Ozernovskiy,RU,2021-11-20 02:53:00,51.5,156.5167,37.02,90,100,42.23
231,Feijo,BR,2021-11-20 02:53:01,-8.1642,-70.3536,72.09,99,94,2.51
232,Praia,CV,2021-11-20 02:53:01,14.9215,-23.5087,77.54,88,0,5.75
233,Cockburn Town,TC,2021-11-20 02:54:01,21.4612,-71.1419,80.65,78,40,17.58
234,Marondera,ZW,2021-11-20 02:54:01,-18.1853,31.5519,60.49,83,99,5.21
235,Fowa,NG,2021-11-20 02:54:02,8.9167,6.4,74.97,49,8,0.81
236,Beloha,MG,2021-11-20 02:54:02,-25.1667,45.05,73.76,83,96,5.01
237,Menongue,AO,2021-11-20 02:54:02,-14.6585,17.691,64.33,84,85,3.38
238,Synya,RU,2021-11-20 02:54:02,65.3718,58.0387,21.56,89,100,13.33
239,Mahanoro,MG,2021-11-20 02:54:03,-19.9,48.8,75.04,81,1,6.02
240,Petatlan,MX,2021-11-20 02:54:03,17.5167,-101.2667,74.86,87,0,3.49
241,Hays,US,2021-11-20 02:53:32,30.0502,-98.0336,56.28,64,3,6.17
242,Lobito,AO,2021-11-20 02:54:03,-12.3481,13.5456,76.86,86,100,3.8
243,Kut Chap,TH,2021-11-20 02:54:04,17.4257,102.5669,89.76,62,20,0.85
244,Mount Gambier,AU,2021-11-20 02:54:04,-37.8333,140.7667,60.71,48,90,11.5
245,Lebu,CL,2021-11-20 02:54:04,-37.6167,-73.65,53.02,93,29,16.91
246,Beya,RU,2021-11-20 02:54:04,53.0533,90.9139,5.54,64,49,7.34
