City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Port Augusta,AU,-32.5,137.7667,61.7,45,100,5.5,overcast clouds
141,Harnosand,SE,62.6323,17.9379,26.01,63,25,10.63,scattered clouds
142,Laguna,US,38.421,-121.4238,73.02,58,1,1.01,clear sky
143,Tambacounda,SN,13.7539,-13.7586,80.65,50,0,4.61,clear sky
144,Gat,IL,31.61,34.7642,58.91,63,53,7.43,broken clouds
145,Ponta Do Sol,PT,32.6667,-17.1,68.0,86,60,5.14,broken clouds
146,Khatanga,RU,71.9667,102.5,-34.73,96,12,5.03,few clouds
147,Suleya,RU,55.1352,58.8792,23.36,89,100,16.91,overcast clouds
148,Bredasdorp,ZA,-34.5322,20.0403,63.28,85,100,13.73,light rain
149,Esperance,AU,-33.8667,121.9,64.24,80,93,11.81,overcast clouds
150,Tommot,RU,58.9564,126.2925,-20.76,100,92,1.23,overcast clouds
151,Avera,US,33.194,-82.5271,69.31,66,74,3.74,broken clouds
152,Goulburn,AU,-34.75,149.7167,55.65,82,99,13.98,light rain
153,Puerto Cabezas,NI,14.0351,-83.3888,80.56,89,75,9.22,broken clouds
154,Biak,ID,-0.9131,122.8766,76.86,82,69,1.81,broken clouds
155,Tatawin,TN,32.9297,10.4518,65.28,50,87,5.66,overcast clouds
156,Bilma,NE,18.6853,12.9164,77.38,22,3,6.33,clear sky
157,Ishigaki,JP,24.3448,124.1572,71.73,94,75,3.44,broken clouds
158,Tagusao,PH,9.1924,117.8141,78.87,84,21,3.38,few clouds
159,Butaritari,KI,3.0707,172.7902,80.98,79,33,7.96,scattered clouds
160,Guane,CU,22.2025,-84.0875,78.84,80,54,0.72,light rain
161,Mountain Home,US,43.133,-115.6912,46.42,65,1,8.05,clear sky
162,Shieli,KZ,44.1667,66.75,45.54,41,100,12.73,overcast clouds
163,Xiangxiang,CN,27.7333,112.5333,47.64,74,100,9.24,overcast clouds
164,Tual,ID,-5.6667,132.75,83.91,71,84,5.97,light rain
165,Maceio,BR,-9.6658,-35.7353,81.84,74,0,8.05,clear sky
166,Boende,CD,-0.2167,20.8667,71.4,99,93,0.67,overcast clouds
167,Grand Gaube,MU,-20.0064,57.6608,73.8,76,59,13.69,light rain
168,Fez,MA,34.0372,-4.9998,55.65,87,75,4.61,broken clouds
169,Itoman,JP,26.1247,127.6694,77.02,83,40,9.22,scattered clouds
170,Geraldton,AU,-28.7667,114.6,64.13,63,13,11.5,few clouds
